drugbank_id	mcule_id
DB00928	MCULE-8318770472
DB00936	MCULE-8407868694
DB00937	MCULE-2048650105
DB00937	MCULE-3905795013
DB00939	MCULE-3600081195
DB00939	MCULE-4652582072
DB00941	MCULE-8677953674
DB00943	MCULE-6071296177
DB00945	MCULE-3199019536
DB00949	MCULE-2661497722
DB00950	MCULE-4193800017
DB00950	MCULE-5306097997
DB00951	MCULE-6324947959
DB00954	MCULE-3638843068
DB00958	MCULE-5646000632
DB00959	MCULE-8934838036
DB00966	MCULE-8479555254
DB00967	MCULE-2975958622
DB00968	MCULE-3456177599
DB00968	MCULE-8885874119
DB00973	MCULE-4417284526
DB00973	MCULE-8480059550
DB00974	MCULE-1868494404
DB00975	MCULE-3112669573
DB00977	MCULE-1979046326
DB00977	MCULE-2138350364
DB00977	MCULE-5991854877
DB00981	MCULE-9310809074
DB00984	MCULE-5122697862
DB00985	MCULE-3867814648
DB00985	MCULE-6260910826
DB00987	MCULE-1440805673
DB00987	MCULE-3044641322
DB00987	MCULE-3945147956
DB00988	MCULE-7558764100
DB00991	MCULE-7099031811
DB00992	MCULE-7356254100
DB00992	MCULE-8571939531
DB00993	MCULE-8637589610
DB00996	MCULE-5392848565
DB00997	MCULE-1987806380
DB00997	MCULE-4188577717
DB00999	MCULE-6585933943
DB01001	MCULE-4493408325
DB01002	MCULE-2286784276
DB01002	MCULE-5414144502
DB01003	MCULE-4994762451
DB01003	MCULE-8432777058
DB01004	MCULE-9512761592
DB01005	MCULE-9465284053
DB01008	MCULE-1840882522
DB01013	MCULE-6352927484
